category,index,name
aerosol_can,0,气雾罐
air_conditioner,1,空调
airplane,2,飞机
alarm_clock,3,闹钟
alcohol,4,酒精
alligator,5,短吻鳄
almond,6,杏仁
ambulance,7,救护车
amplifier,8,放大器
anklet,9,脚链
antenna,10,天线
apple,11,苹果
applesauce,12,苹果酱
apricot,13,杏
apron,14,围裙
aquarium,15,水族馆
arctic_(type_of_shoe),16,北极鞋
armband,17,臂章
armchair,18,扶手椅
armoire,19,衣橱
armor,20,盔甲
artichoke,21,洋蓟
trash_can,22,垃圾桶
ashtray,23,烟灰缸
asparagus,24,芦笋
atomizer,25,喷雾器
avocado,26,鳄梨
award,27,奖品
awning,28,遮阳篷
ax,29,斧头
baboon,30,狒狒
baby_buggy,31,婴儿车
basketball_backboard,32,篮球篮板
backpack,33,背包
handbag,34,手提包
suitcase,35,手提箱
bagel,36,百吉饼
bagpipe,37,风笛
baguet,38,法棍
bait,39,诱饵
ball,40,球
ballet_skirt,41,芭蕾裙
balloon,42,气球
bamboo,43,竹子
banana,44,香蕉
Band_Aid,45,创可贴
bandage,46,绷带
bandanna,47,头巾
banjo,48,班卓琴
banner,49,横幅
barbell,50,杠铃
barge,51,驳船
barrel,52,桶
barrette,53,发夹
barrow,54,手推车
baseball_base,55,棒球垒
baseball,56,棒球
baseball_bat,57,棒球棒
baseball_cap,58,棒球帽
baseball_glove,59,棒球手套
basket,60,篮子
basketball,61,篮球
bass_horn,62,低音号
bat_(animal),63,蝙蝠
bath_mat,64,浴室垫
bath_towel,65,浴巾
bathrobe,66,浴袍
bathtub,67,浴缸
batter_(food),68,面糊
battery,69,电池
beachball,70,沙滩球
bead,71,珠子
bean_curd,72,豆腐
beanbag,73,豆袋
beanie,74,无檐小便帽
bear,75,熊
bed,76,床
bedpan,77,便盆
bedspread,78,床罩
cow,79,奶牛
beef_(food),80,牛肉
beeper,81,传呼机
beer_bottle,82,啤酒瓶
beer_can,83,啤酒罐
beetle,84,甲虫
bell,85,铃铛
bell_pepper,86,甜椒
belt,87,腰带
belt_buckle,88,皮带扣
bench,89,长凳
beret,90,贝雷帽
bib,91,围兜
Bible,92,圣经
bicycle,93,自行车
visor,94,遮阳板
billboard,95,广告牌
binder,96,活页夹
binoculars,97,双筒望远镜
bird,98,鸟
birdfeeder,99,喂鸟器
birdbath,100,鸟浴盆
birdcage,101,鸟笼
birdhouse,102,鸟屋
birthday_cake,103,生日蛋糕
birthday_card,104,生日贺卡
pirate_flag,105,海盗旗
black_sheep,106,黑羊
blackberry,107,黑莓
blackboard,108,黑板
blanket,109,毯子
blazer,110,西装外套
blender,111,搅拌机
blimp,112,飞艇
blinker,113,转向灯
blouse,114,女衬衫
blueberry,115,蓝莓
gameboard,116,游戏板
boat,117,船
bob,118,鲍勃发型
bobbin,119,线轴
bobby_pin,120,发夹
boiled_egg,121,煮鸡蛋
bolo_tie,122,牛仔领带
deadbolt,123,插销
bolt,124,螺栓
bonnet,125,软帽
book,126,书
bookcase,127,书柜
booklet,128,小册子
bookmark,129,书签
boom_microphone,130,长杆麦克风
boot,131,靴子
bottle,132,瓶子
bottle_opener,133,开瓶器
bouquet,134,花束
bow_(weapon),135,弓
